Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,647,595,833,922,1286,445,1956,0.0,False
jmeter_view_dashboard,4233,189,180,236,264,337,123,690,0.0,False
jmeter_view_issue,14412,324,305,410,461,594,224,2464,0.0,False
jmeter_view_scrum_board,3390,273,256,356,398,519,171,2149,0.0,False
jmeter_view_backlog,2533,444,425,544,605,789,300,1818,0.0,False
jmeter_create_issue:open_quick_create,1697,78,75,99,113,153,55,523,0.0,False
jmeter_search_jql,4666,725,691,881,976,1246,518,6707,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,346,329,429,458,514,268,2553,0.0,False
jmeter_view_kanban_board,2956,300,287,388,434,548,164,1443,0.0,False
jmeter_browse_projects,3799,116,110,146,167,218,78,603,0.0,False
jmeter_edit_issue:open_editor,2113,166,157,208,233,296,114,435,0.0,False
jmeter_edit_issue:save_edit,2113,452,411,595,676,894,313,1328,0.0,False
jmeter_view_project_summary,1267,171,161,215,242,313,121,407,0.0,False
jmeter_add_comment:open_comment,840,124,120,151,170,206,87,271,0.0,False
jmeter_add_comment:save_comment,840,443,417,555,606,679,329,871,0.0,False
jmeter_browse_boards,414,126,120,150,169,211,90,365,0.0,False
selenium_login:open_login_page,147,1175,1171,1184,1200,1211,1145,1694,0.0,False
selenium_login:login_and_view_dashboard,147,1969,1943,2922,3153,3324,543,3426,0.0,False
selenium_login,147,3159,3117,4135,4353,4505,1724,4613,0.0,False
selenium_project_summary,147,328,298,344,393,427,238,3501,0.0,False
selenium_browse_projects_list,147,237,230,257,276,320,204,521,0.0,False
selenium_browse_boards_list,147,273,192,246,816,1889,169,2707,0.0,False
selenium_create_issue:open_quick_create,147,1402,1411,1906,1997,2047,711,2115,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,147,1245,1245,1736,1797,1868,620,1869,0.0,False
selenium_create_issue:fill_and_submit_issue_form,147,1838,1837,2304,2370,2469,1161,4066,0.0,False
selenium_create_issue,147,3241,3241,4237,4333,4493,1874,5229,0.0,False
selenium_edit_issue:open_edit_issue_form,147,427,411,471,497,540,372,1397,0.0,False
selenium_edit_issue:save_edit_issue_form,147,714,659,817,924,1202,555,4470,0.0,False
selenium_edit_issue,147,1791,1729,1935,2119,2267,1563,6618,0.0,False
selenium_save_comment:open_comment_form,147,203,193,229,252,308,163,508,0.0,False
selenium_save_comment:submit_form,147,627,619,697,723,779,527,802,0.0,False
selenium_save_comment,147,2034,2040,2563,2614,2687,937,2720,0.0,False
selenium_search_jql,147,1448,1344,1776,1847,2045,800,15942,0.0,False
selenium_view_scrum_board_backlog,147,1544,1585,2025,2091,2161,799,3313,0.0,False
selenium_view_scrum_board,147,1412,1397,1905,1962,2114,758,2769,0.0,False
selenium_view_kanban_board,147,1414,1396,1922,1985,2035,731,2061,0.0,False
selenium_view_dashboard,147,211,204,233,254,291,176,403,0.0,False
selenium_view_issue,147,429,418,489,519,556,361,654,0.0,False
selenium_log_out,147,669,301,1781,1969,2718,278,2979,0.0,False
