Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,2097,460,3582,15997,23942,348,25929,0.0,False
jmeter_view_issue,5512,261,240,303,345,463,201,8218,0.0,False
jmeter_app_specific_action,12662,615,587,683,722,906,486,12378,0.0,True
jmeter_browse_projects,3395,88,84,105,114,141,69,521,0.0,False
jmeter_view_scrum_board,2963,224,219,265,301,362,154,1669,0.0,False
jmeter_search_jql,4242,595,572,686,725,838,498,4741,0.0,False
jmeter_create_issue:open_quick_create,1273,90,85,103,113,137,65,698,0.0,False
jmeter_edit_issue:open_editor,1697,127,120,150,164,212,99,1101,0.0,False
jmeter_view_kanban_board,2534,247,235,285,309,388,192,2469,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1273,176,164,222,246,299,140,1249,0.0,False
jmeter_edit_issue:save_edit,1697,327,300,422,472,634,195,1550,0.0,False
jmeter_view_dashboard,3809,163,159,190,203,238,121,531,0.0,False
jmeter_view_backlog,2114,375,358,427,454,558,297,3144,0.0,False
jmeter_view_project_summary,845,171,165,200,217,254,123,520,0.0,False
jmeter_add_comment:open_comment,841,98,94,117,124,147,76,255,0.0,False
jmeter_add_comment:save_comment,841,309,290,371,427,516,234,2820,0.0,False
jmeter_browse_boards,414,101,97,116,126,155,83,215,0.0,False
selenium_login:open_login_page,137,1207,1185,1195,1204,1219,1167,4208,0.0,False
selenium_login:login_and_view_dashboard,137,2312,2035,3346,3586,3801,575,22515,0.0,False
selenium_login,137,3540,3230,4573,4785,4997,1784,26838,0.0,False
selenium_project_summary,137,373,338,383,503,898,278,2417,0.0,False
selenium_browse_projects_list,137,246,243,272,280,315,218,322,0.0,False
selenium_browse_boards_list,137,244,204,221,260,1333,184,2394,0.0,False
selenium_create_issue:open_quick_create,137,1462,1464,2060,2112,2184,730,2261,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,137,1357,1368,1940,2009,2069,635,2073,0.0,False
selenium_create_issue:fill_and_submit_issue_form,137,2012,2018,2605,2695,2745,1165,3421,0.0,False
selenium_create_issue,137,3475,3452,4656,4801,4859,1896,5009,0.0,False
selenium_edit_issue:open_edit_issue_form,137,448,438,467,487,640,400,1072,0.0,False
selenium_edit_issue:save_edit_issue_form,137,619,568,711,803,994,515,3244,0.0,False
selenium_edit_issue,137,1801,1754,1912,2004,2286,1588,5151,0.0,False
selenium_save_comment:open_comment_form,137,206,201,221,237,264,187,333,0.0,False
selenium_save_comment:submit_form,137,542,533,588,635,669,484,739,0.0,False
selenium_save_comment,137,2107,2093,2680,2751,2794,1013,2818,0.0,False
selenium_search_jql,137,1606,1605,2126,2216,3086,996,3602,0.0,False
selenium_view_scrum_board_backlog,137,1679,1705,2195,2276,2339,798,2454,0.0,False
selenium_view_scrum_board,137,1507,1504,2073,2150,2222,756,2362,0.0,False
selenium_view_kanban_board,137,1678,1533,2133,3297,5359,747,5679,0.0,False
selenium_view_dashboard,137,219,214,247,266,286,186,302,0.0,False
selenium_view_issue,137,432,423,475,493,603,372,696,0.0,False
selenium_log_out,137,564,340,1006,2119,3399,319,3907,0.0,False
