Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,1051,462,744,2624,15632,369,17660,0.0,False
jmeter_view_issue,14410,354,319,510,593,689,228,1023,0.0,False
jmeter_search_jql,4665,787,726,1082,1207,1384,472,2505,0.0,False
jmeter_view_dashboard,4232,216,198,300,360,450,130,557,0.0,False
jmeter_view_scrum_board,3390,295,280,387,464,571,181,863,0.0,False
jmeter_view_backlog,2533,510,479,712,809,944,322,1479,0.0,False
jmeter_create_issue:open_quick_create,1697,85,76,131,155,185,57,249,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1697,354,327,470,503,564,270,987,0.0,False
jmeter_view_kanban_board,2955,329,305,426,605,726,166,1078,0.0,False
jmeter_browse_projects,3798,126,114,179,217,277,78,356,0.0,False
jmeter_edit_issue:open_editor,2113,179,160,266,320,377,121,501,0.0,False
jmeter_edit_issue:save_edit,2113,482,438,637,739,1027,328,1494,0.0,False
jmeter_view_project_summary,1267,196,169,319,357,412,124,496,0.0,False
jmeter_add_comment:open_comment,840,136,125,183,207,262,92,289,0.0,False
jmeter_add_comment:save_comment,840,471,449,576,620,704,354,1048,0.0,False
jmeter_browse_boards,414,128,124,156,168,204,94,404,0.0,False
selenium_login:open_login_page,134,1200,1195,1210,1217,1249,1165,1726,0.0,False
selenium_login:login_and_view_dashboard,134,2387,2108,3394,3518,3654,627,21775,0.0,False
selenium_login,134,3604,3326,4598,4732,4862,1835,23526,0.0,False
selenium_project_summary,134,378,346,431,530,594,305,1959,0.0,False
selenium_browse_projects_list,134,282,280,311,326,369,236,388,0.0,False
selenium_browse_boards_list,134,255,221,282,367,1137,185,1842,0.0,False
selenium_create_issue:open_quick_create,134,1462,1455,2013,2064,2104,675,2177,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,134,1351,1344,1908,1981,2041,646,2424,0.0,False
selenium_create_issue:fill_and_submit_issue_form,134,2022,2010,2574,2638,2787,1233,3050,0.0,False
selenium_create_issue,134,3485,3440,4559,4675,4923,1961,5078,0.0,False
selenium_edit_issue:open_edit_issue_form,134,494,480,553,589,711,420,929,0.0,False
selenium_edit_issue:save_edit_issue_form,134,752,706,856,956,1342,607,2853,0.0,False
selenium_edit_issue,134,2024,1982,2188,2270,2670,1671,4656,0.0,False
selenium_save_comment:open_comment_form,134,228,222,246,271,326,168,386,0.0,False
selenium_save_comment:submit_form,134,689,677,752,802,932,604,984,0.0,False
selenium_save_comment,134,2243,2246,2849,2894,2931,1126,2950,0.0,False
selenium_search_jql,134,1628,1582,2107,2162,2826,970,3156,0.0,False
selenium_view_scrum_board_backlog,134,1655,1686,2152,2189,2268,767,2279,0.0,False
selenium_view_scrum_board,134,1508,1517,2053,2114,2176,763,2189,0.0,False
selenium_view_kanban_board,134,1508,1486,2050,2126,2187,754,2255,0.0,False
selenium_view_dashboard,134,238,234,265,291,326,204,348,0.0,False
selenium_view_issue,134,492,483,546,572,636,417,706,0.0,False
selenium_log_out,134,541,344,1222,1834,3401,310,3881,0.0,False
