Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,App specific
jmeter_login_and_view_dashboard,200,346,336,415,426,501,267,597,0.0,False
jmeter_view_issue,5515,230,223,267,289,356,177,503,0.0,False
jmeter_search_jql,4245,560,555,626,651,709,432,3255,0.0,False
jmeter_app_specific_action,12669,523,519,575,595,644,422,1068,0.0,True
jmeter_browse_projects,3397,82,79,96,101,121,63,244,0.0,False
jmeter_view_scrum_board,2964,208,207,243,257,286,141,587,0.0,False
jmeter_view_kanban_board,2535,238,234,274,286,316,187,462,0.0,False
jmeter_view_backlog,2115,363,361,410,431,465,268,643,0.0,False
jmeter_edit_issue:open_editor,1698,110,108,126,134,160,88,202,0.0,False
jmeter_edit_issue:save_edit,1698,283,268,346,395,489,163,604,0.0,False
jmeter_create_issue:open_quick_create,1274,65,63,74,78,102,46,123,0.0,False
jmeter_create_issue:fill_and_submit_issue_form,1274,157,154,178,187,222,124,248,0.0,False
jmeter_view_dashboard,3811,149,146,174,185,212,104,459,0.0,False
jmeter_view_project_summary,845,146,143,170,178,197,105,280,0.0,False
jmeter_add_comment:open_comment,841,88,86,101,107,135,68,192,0.0,False
jmeter_add_comment:save_comment,841,272,261,318,359,428,209,572,0.0,False
jmeter_browse_boards,415,97,94,114,120,146,75,172,0.0,False
selenium_login:open_login_page,141,1183,1179,1189,1192,1232,1162,1681,0.0,False
selenium_login:login_and_view_dashboard,141,2121,2091,3171,3502,3730,539,3809,0.0,False
selenium_login,141,3319,3288,4361,4701,4991,1734,5054,0.0,False
selenium_project_summary,141,341,319,367,434,586,235,1804,0.0,False
selenium_browse_projects_list,141,243,242,264,276,291,212,318,0.0,False
selenium_browse_boards_list,141,215,197,216,235,845,174,1300,0.0,False
selenium_create_issue:open_quick_create,141,1434,1436,2018,2072,2189,685,2204,0.0,False
selenium_create_issue:fill_and_submit_issue_form:submit_issue_form,141,1318,1337,1920,1977,2037,635,2067,0.0,False
selenium_create_issue:fill_and_submit_issue_form,141,1972,1969,2566,2625,2810,1255,2898,0.0,False
selenium_create_issue,141,3407,3387,4531,4679,4795,1996,4830,0.0,False
selenium_edit_issue:open_edit_issue_form,141,426,417,449,465,649,382,865,0.0,False
selenium_edit_issue:save_edit_issue_form,141,594,560,704,745,835,488,2155,0.0,False
selenium_edit_issue,141,1715,1690,1825,1867,1961,1539,3796,0.0,False
selenium_save_comment:open_comment_form,141,202,195,218,254,311,156,421,0.0,False
selenium_save_comment:submit_form,141,517,511,558,569,618,448,784,0.0,False
selenium_save_comment,141,2024,2083,2583,2698,2836,890,2930,0.0,False
selenium_search_jql,141,1701,1489,2004,2101,2243,891,31898,0.0,False
selenium_view_scrum_board_backlog,141,1661,1681,2188,2259,2380,744,2618,0.0,False
selenium_view_scrum_board,141,1475,1475,2059,2105,2198,731,2242,0.0,False
selenium_view_kanban_board,141,1609,1511,2112,2251,4630,728,5797,0.0,False
selenium_view_dashboard,141,211,205,235,261,295,180,423,0.0,False
selenium_view_issue,141,407,405,436,448,475,350,530,0.0,False
selenium_log_out,141,520,314,1061,1847,3114,286,3748,0.0,False
